Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,97,1,Some Random Commen with Id 0
1,1,5,169,9,Some Random Commen with Id 1
2,1,5,101,2,Some Random Commen with Id 2
3,1,5,46,5,Some Random Commen with Id 3
4,1,5,188,9,Some Random Commen with Id 4
5,1,5,39,5,Some Random Commen with Id 5
6,2,2,78,8,Some Random Commen with Id 6
7,2,2,190,3,Some Random Commen with Id 7
8,2,2,49,0,Some Random Commen with Id 8
9,2,2,131,6,Some Random Commen with Id 9
10,2,2,96,4,Some Random Commen with Id 10
11,2,2,91,1,Some Random Commen with Id 11
12,2,2,74,0,Some Random Commen with Id 12
13,3,5,0,0,Some Random Commen with Id 13
14,3,5,179,9,Some Random Commen with Id 14
15,3,5,139,5,Some Random Commen with Id 15
16,3,5,72,0,Some Random Commen with Id 16
17,3,5,137,0,Some Random Commen with Id 17
18,3,5,162,0,Some Random Commen with Id 18
19,3,5,154,3,Some Random Commen with Id 19
20,4,2,97,4,Some Random Commen with Id 20
21,4,2,61,0,Some Random Commen with Id 21
22,4,2,198,0,Some Random Commen with Id 22
23,4,2,25,4,Some Random Commen with Id 23
24,5,0,80,6,Some Random Commen with Id 24
25,5,0,199,4,Some Random Commen with Id 25
26,5,0,120,9,Some Random Commen with Id 26
27,5,0,0,8,Some Random Commen with Id 27
28,5,0,38,2,Some Random Commen with Id 28
29,6,6,18,0,Some Random Commen with Id 29
30,6,6,190,0,Some Random Commen with Id 30
31,6,6,48,2,Some Random Commen with Id 31
32,6,6,51,7,Some Random Commen with Id 32
33,6,6,107,9,Some Random Commen with Id 33
34,6,6,127,8,Some Random Commen with Id 34
35,6,6,52,3,Some Random Commen with Id 35
36,6,6,57,0,Some Random Commen with Id 36
37,6,6,72,3,Some Random Commen with Id 37
38,7,9,55,1,Some Random Commen with Id 38
39,7,9,118,4,Some Random Commen with Id 39
40,7,9,57,3,Some Random Commen with Id 40
41,7,9,13,6,Some Random Commen with Id 41
42,7,9,99,9,Some Random Commen with Id 42
43,7,9,172,9,Some Random Commen with Id 43
44,8,1,1,8,Some Random Commen with Id 44
45,8,1,194,4,Some Random Commen with Id 45
46,8,1,144,5,Some Random Commen with Id 46
47,8,1,158,0,Some Random Commen with Id 47
48,8,1,28,6,Some Random Commen with Id 48
49,8,1,72,2,Some Random Commen with Id 49
50,8,1,169,3,Some Random Commen with Id 50
51,8,1,100,0,Some Random Commen with Id 51
52,8,1,135,6,Some Random Commen with Id 52
53,10,3,183,1,Some Random Commen with Id 53
54,10,3,60,6,Some Random Commen with Id 54
55,10,3,190,2,Some Random Commen with Id 55
56,10,3,3,1,Some Random Commen with Id 56
57,11,9,191,1,Some Random Commen with Id 57
58,11,9,90,4,Some Random Commen with Id 58
59,11,9,19,7,Some Random Commen with Id 59
60,11,9,169,9,Some Random Commen with Id 60
61,11,9,125,7,Some Random Commen with Id 61
62,11,9,60,8,Some Random Commen with Id 62
63,11,9,129,3,Some Random Commen with Id 63
64,11,9,105,4,Some Random Commen with Id 64
65,12,6,58,8,Some Random Commen with Id 65
66,13,7,88,0,Some Random Commen with Id 66
67,13,7,136,6,Some Random Commen with Id 67
68,13,7,109,9,Some Random Commen with Id 68
69,13,7,84,3,Some Random Commen with Id 69
70,14,0,123,5,Some Random Commen with Id 70
71,14,0,87,5,Some Random Commen with Id 71
72,14,0,177,6,Some Random Commen with Id 72
73,15,7,149,4,Some Random Commen with Id 73
74,15,7,125,4,Some Random Commen with Id 74
75,15,7,108,2,Some Random Commen with Id 75
76,15,7,67,8,Some Random Commen with Id 76
77,15,7,56,8,Some Random Commen with Id 77
78,15,7,45,1,Some Random Commen with Id 78
79,16,0,127,4,Some Random Commen with Id 79
80,16,0,165,5,Some Random Commen with Id 80
81,16,0,113,0,Some Random Commen with Id 81
82,16,0,170,3,Some Random Commen with Id 82
83,16,0,88,3,Some Random Commen with Id 83
84,16,0,33,3,Some Random Commen with Id 84
85,17,3,54,6,Some Random Commen with Id 85
86,17,3,128,3,Some Random Commen with Id 86
87,17,3,9,6,Some Random Commen with Id 87
88,17,3,118,5,Some Random Commen with Id 88
89,17,3,23,5,Some Random Commen with Id 89
90,17,3,190,2,Some Random Commen with Id 90
91,17,3,77,3,Some Random Commen with Id 91
92,18,5,96,5,Some Random Commen with Id 92
93,18,5,168,0,Some Random Commen with Id 93
94,18,5,8,4,Some Random Commen with Id 94
95,19,0,195,4,Some Random Commen with Id 95
96,19,0,1,9,Some Random Commen with Id 96
97,19,0,157,0,Some Random Commen with Id 97
98,19,0,2,8,Some Random Commen with Id 98
99,19,0,109,5,Some Random Commen with Id 99
100,19,0,155,9,Some Random Commen with Id 100
101,19,0,43,9,Some Random Commen with Id 101
102,20,0,174,4,Some Random Commen with Id 102
103,20,0,46,7,Some Random Commen with Id 103
104,20,0,74,1,Some Random Commen with Id 104
105,20,0,85,2,Some Random Commen with Id 105
106,20,0,166,4,Some Random Commen with Id 106
107,21,7,108,1,Some Random Commen with Id 107
108,21,7,62,6,Some Random Commen with Id 108
109,21,7,169,6,Some Random Commen with Id 109
110,21,7,129,2,Some Random Commen with Id 110
111,21,7,68,1,Some Random Commen with Id 111
112,22,3,163,2,Some Random Commen with Id 112
113,22,3,143,4,Some Random Commen with Id 113
114,23,9,163,3,Some Random Commen with Id 114
115,23,9,44,5,Some Random Commen with Id 115
116,23,9,71,9,Some Random Commen with Id 116
117,23,9,11,9,Some Random Commen with Id 117
118,23,9,105,6,Some Random Commen with Id 118
119,24,9,48,3,Some Random Commen with Id 119
120,25,9,118,8,Some Random Commen with Id 120
121,25,9,89,9,Some Random Commen with Id 121
122,25,9,84,3,Some Random Commen with Id 122
123,25,9,105,8,Some Random Commen with Id 123
124,25,9,91,8,Some Random Commen with Id 124
125,26,8,134,3,Some Random Commen with Id 125
126,26,8,198,4,Some Random Commen with Id 126
127,26,8,189,3,Some Random Commen with Id 127
128,26,8,119,5,Some Random Commen with Id 128
129,26,8,77,6,Some Random Commen with Id 129
130,26,8,69,7,Some Random Commen with Id 130
131,26,8,11,0,Some Random Commen with Id 131
132,26,8,89,4,Some Random Commen with Id 132
133,26,8,111,7,Some Random Commen with Id 133
134,27,3,5,7,Some Random Commen with Id 134
135,27,3,167,8,Some Random Commen with Id 135
136,27,3,14,8,Some Random Commen with Id 136
137,28,0,117,8,Some Random Commen with Id 137
138,28,0,140,2,Some Random Commen with Id 138
139,28,0,166,3,Some Random Commen with Id 139
140,28,0,159,9,Some Random Commen with Id 140
141,28,0,121,1,Some Random Commen with Id 141
142,28,0,1,2,Some Random Commen with Id 142
143,28,0,116,2,Some Random Commen with Id 143
144,30,4,174,1,Some Random Commen with Id 144
145,30,4,32,1,Some Random Commen with Id 145
146,31,5,94,7,Some Random Commen with Id 146
147,31,5,142,5,Some Random Commen with Id 147
148,31,5,51,6,Some Random Commen with Id 148
149,31,5,198,2,Some Random Commen with Id 149
150,31,5,99,9,Some Random Commen with Id 150
151,31,5,199,0,Some Random Commen with Id 151
